順位,乗降客数,駅名,路線名,区分,事業者名,都道府県コード
-,他路線に含む,"新飯塚","後藤寺線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"田川後藤寺","後藤寺線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"城野","日田彦山線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"小倉","日豊線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"西小倉","日豊線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"姪浜","筑肥線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"折尾","筑豊線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"東水巻","筑豊線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"吉塚","篠栗線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"桂川","篠栗線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"長者原","香椎線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"香椎","香椎線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"原田","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"小倉","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"折尾","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"門司","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"門司","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"陣原","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"田川伊田","伊田線","三セク","平成筑豊鉄道","40"
-,他路線に含む,"田川後藤寺","糸田線","三セク","平成筑豊鉄道","40"
-,他路線に含む,"金田","糸田線","三セク","平成筑豊鉄道","40"
-,他路線に含む,"中洲川端","2号線(箱崎線)","公営","福岡市","40"
-,他路線に含む,"博多","博多南線","ＪＲ","西日本旅客鉄道","40"
-,他路線に含む,"西鉄二日市","太宰府線","民営","西日本鉄道","40"
-,他路線に含む,"宮の陣","甘木線","民営","西日本鉄道","40"

