Station,Station Latitude,Station Longitude,Daily Passengers,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Subcategory
Tōjinmachi,33.59026388888889,130.37053333333333,23542,福岡カレッジ・オブ・ビジネス,33.586258752173215,130.37178304836038,Education,Trade School
MinamiFukuoka,33.54213055555555,130.46059444444444,20535,立命鉄研 南福岡box,33.542957,130.461744,Education,College Lab
Nishijin,33.583802777777784,130.35974166666665,49192,西南学院大学言語教育センター,33.58530702206898,130.35657000454194,Education,University
Nishijin,33.583802777777784,130.35974166666665,49192,3号館,33.584775,130.355581,Education,University
Nishijin,33.583802777777784,130.35974166666665,49192,Seinan Gakuin University (西南学院大学),33.58482629597737,130.35486800879949,Education,University
Nishijin,33.583802777777784,130.35974166666665,49192,西南学院大学 法科大学院,33.586082,130.35785,Education,General College & University
Nishijin,33.583802777777784,130.35974166666665,49192,西南学院百年館(松緑館),33.586577,130.358204,Education,General College & University
Nishijin,33.583802777777784,130.35974166666665,49192,2号館,33.584736212738505,130.35463485399413,Education,College Academic Building
Nishijin,33.583802777777784,130.35974166666665,49192,西南学院大学5号館,33.585519100910226,130.35579907589766,Education,General College & University
Nishijin,33.583802777777784,130.35974166666665,49192,Building No.1 (1号館),33.58429174792315,130.35443362145008,Education,College Academic Building
Nishijin,33.583802777777784,130.35974166666665,49192,4号館,33.58531890550915,130.35521143248025,Education,General College & University
Nishijin,33.583802777777784,130.35974166666665,49192,九州大学 西新プラザ,33.587834595783946,130.36060020732293,Education,General College & University
Nishijin,33.583802777777784,130.35974166666665,49192,西南学院大学 本館,33.585188,130.358128,Education,College Administrative Building
Nishijin,33.583802777777784,130.35974166666665,49192,西南学院大学 教務課,33.586522,130.356981,Education,College Administrative Building
Nishijin,33.583802777777784,130.35974166666665,49192,西南学院大学 学生課,33.584847236940796,130.35525657124026,Education,College Administrative Building
Nishijin,33.583802777777784,130.35974166666665,49192,西南学院大学 学生ホール,33.58470067768964,130.35510511570425,Education,College Auditorium
Nishijin,33.583802777777784,130.35974166666665,49192,西南学院大学 新図書館,33.585177587518366,130.35676475205616,Education,College Library
Nishijin,33.583802777777784,130.35974166666665,49192,sainsルーム,33.585081,130.356565,Education,College Library
Nishijin,33.583802777777784,130.35974166666665,49192,SGU Library (西南学院大学 図書館),33.58491832271626,130.35542935449809,Education,College Library
Nishijin,33.583802777777784,130.35974166666665,49192,福岡医療専門学校,33.58016752024912,130.35914996609472,Education,Medical School
Nishijin,33.583802777777784,130.35974166666665,49192,学生ホール,33.58461232237333,130.35516690321194,Education,College Quad
Nishijin,33.583802777777784,130.35974166666665,49192,Seinan Community Center (西南コミュニティーセンター),33.585281023843194,130.35793658603114,Education,Community Center
Nishijin,33.583802777777784,130.35974166666665,49192,Seinan Cross Plaza (西南クロスプラザ),33.58511753337508,130.35705102793221,Education,College Cafeteria
Nishijin,33.583802777777784,130.35974166666665,49192,LIBRARY CAFE,33.58518967924295,130.3566757534286,Education,Café
Befu,33.57416944444445,130.3696277777778,11453,7号館,33.572566,130.366843,Education,University
Befu,33.57416944444445,130.3696277777778,11453,1号館,33.571993,130.366359,Education,University
Befu,33.57416944444445,130.3696277777778,11453,東3号館,33.572802,130.3674,Education,College Academic Building
Befu,33.57416944444445,130.3696277777778,11453,2号館,33.57169412680372,130.36620894671364,Education,College Academic Building
Befu,33.57416944444445,130.3696277777778,11453,音楽館,33.572155,130.36667,Education,College Classroom
Befu,33.57416944444445,130.3696277777778,11453,2802教室,33.572101,130.366388,Education,College Classroom
Befu,33.57416944444445,130.3696277777778,11453,6号館,33.571909,130.366411,Education,College Classroom
Befu,33.57416944444445,130.3696277777778,11453,4号館,33.571925,130.366293,Education,College Classroom
Befu,33.57416944444445,130.3696277777778,11453,2707教室(小学校教員採用試験対策自習室),33.571706,130.366194,Education,College Classroom
Befu,33.57416944444445,130.3696277777778,11453,ラミエル研究室,33.572944,130.371754,Education,College Lab
Befu,33.57416944444445,130.3696277777778,11453,図書館,33.572104,130.365643,Education,College Library
